2019-09-16 15:11:46 install dash:amd64 <none> 0.5.10.2-5
2019-09-16 15:11:46 status half-installed dash:amd64 0.5.10.2-5
2019-09-16 15:11:48 status unpacked dash:amd64 0.5.10.2-5
2019-09-16 15:11:49 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.5
2019-09-16 15:11:49 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.5
2019-09-16 15:11:51 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2019-09-16 15:11:52 upgrade debconf:all 1.5.71 1.5.71
2019-09-16 15:11:52 status half-configured debconf:all 1.5.71
2019-09-16 15:11:53 status unpacked debconf:all 1.5.71
2019-09-16 15:11:53 status half-installed debconf:all 1.5.71
2019-09-16 15:12:03 status unpacked debconf:all 1.5.71
2019-09-16 15:12:04 install debian-archive-keyring:all <none> 2019.1
2019-09-16 15:12:04 status half-installed debian-archive-keyring:all 2019.1
2019-09-16 15:12:07 status unpacked debian-archive-keyring:all 2019.1
2019-09-16 15:12:08 install debianutils:amd64 <none> 4.8.6.1
2019-09-16 15:12:08 status half-installed debianutils:amd64 4.8.6.1
2019-09-16 15:12:13 status unpacked debianutils:amd64 4.8.6.1
2019-09-16 15:12:14 install diffutils:amd64 <none> 1:3.7-3
2019-09-16 15:12:14 status half-installed diffutils:amd64 1:3.7-3
2019-09-16 15:12:18 status unpacked diffutils:amd64 1:3.7-3
2019-09-16 15:12:19 upgrade dpkg:amd64 1.19.7 1.19.7
2019-09-16 15:12:19 status half-configured dpkg:amd64 1.19.7
2019-09-16 15:12:19 status unpacked dpkg:amd64 1.19.7
2019-09-16 15:12:20 status half-installed dpkg:amd64 1.19.7
2019-09-16 15:12:29 status unpacked dpkg:amd64 1.19.7
2019-09-16 15:12:30 install e2fsprogs:amd64 <none> 1.44.5-1+deb10u1
2019-09-16 15:12:30 status half-installed e2fsprogs:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:34 status unpacked e2fsprogs:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:35 install libcom-err2:amd64 <none> 1.44.5-1+deb10u1
2019-09-16 15:12:35 status half-installed libcom-err2:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:36 status unpacked libcom-err2:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:38 install libext2fs2:amd64 <none> 1.44.5-1+deb10u1
2019-09-16 15:12:38 status half-installed libext2fs2:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:39 status unpacked libext2fs2:amd64 1.44.5-1+deb10u1
2019-09-16 15:12:40 install libss2:amd64 <none> 1.44.5-1+deb10u1
2019-09-16 15:12:40 status half-installed libss2:amd64 1.44.5-1+deb10u1
