2019-04-07 18:40:53 upgrade base-passwd:i386 3.5.43 3.5.43
2019-04-07 18:40:53 status half-configured base-passwd:i386 3.5.43
2019-04-07 18:40:53 status unpacked base-passwd:i386 3.5.43
2019-04-07 18:40:53 status half-installed base-passwd:i386 3.5.43
2019-04-07 18:40:54 status half-installed base-passwd:i386 3.5.43
2019-04-07 18:40:55 status unpacked base-passwd:i386 3.5.43
2019-04-07 18:40:55 status unpacked base-passwd:i386 3.5.43
2019-04-07 18:40:56 install bash:i386 <none> 4.4-5
2019-04-07 18:40:56 status half-installed bash:i386 4.4-5
2019-04-07 18:41:02 status unpacked bash:i386 4.4-5
2019-04-07 18:41:02 status unpacked bash:i386 4.4-5
2019-04-07 18:41:03 install libbz2-1.0:i386 <none> 1.0.6-8.1
2019-04-07 18:41:03 status half-installed libbz2-1.0:i386 1.0.6-8.1
2019-04-07 18:41:04 status unpacked libbz2-1.0:i386 1.0.6-8.1
2019-04-07 18:41:04 status unpacked libbz2-1.0:i386 1.0.6-8.1
2019-04-07 18:41:05 install libdebconfclient0:i386 <none> 0.227
2019-04-07 18:41:05 status half-installed libdebconfclient0:i386 0.227
2019-04-07 18:41:06 status unpacked libdebconfclient0:i386 0.227
2019-04-07 18:41:06 status unpacked libdebconfclient0:i386 0.227
2019-04-07 18:41:07 install coreutils:i386 <none> 8.26-3
2019-04-07 18:41:07 status half-installed coreutils:i386 8.26-3
2019-04-07 18:41:20 status unpacked coreutils:i386 8.26-3
2019-04-07 18:41:20 status unpacked coreutils:i386 8.26-3
2019-04-07 18:41:21 install dash:i386 <none> 0.5.8-2.4
2019-04-07 18:41:21 status half-installed dash:i386 0.5.8-2.4
2019-04-07 18:41:23 status unpacked dash:i386 0.5.8-2.4
2019-04-07 18:41:23 status unpacked dash:i386 0.5.8-2.4
2019-04-07 18:41:24 install libdb5.3:i386 <none> 5.3.28-12+deb9u1
2019-04-07 18:41:24 status half-installed libdb5.3:i386 5.3.28-12+deb9u1
2019-04-07 18:41:25 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2019-04-07 18:41:25 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2019-04-07 18:41:26 install debconf:all <none> 1.5.61
2019-04-07 18:41:26 status half-installed debconf:all 1.5.61
2019-04-07 18:41:34 status unpacked debconf:all 1.5.61
2019-04-07 18:41:34 status unpacked debconf:all 1.5.61
2019-04-07 18:41:34 install debianutils:i386 <none> 4.8.1.1
2019-04-07 18:41:34 status half-installed debianutils:i386 4.8.1.1
2019-04-07 18:41:37 status unpacked debianutils:i386 4.8.1.1
2019-04-07 18:41:37 status unpacked debianutils:i386 4.8.1.1
2019-04-07 18:41:37 install diffutils:i386 <none> 1:3.5-3
2019-04-07 18:41:37 status half-installed diffutils:i386 1:3.5-3
2019-04-07 18:41:40 status unpacked diffutils:i386 1:3.5-3
2019-04-07 18:41:40 status unpacked diffutils:i386 1:3.5-3
2019-04-07 18:41:40 upgrade dpkg:i386 1.18.25 1.18.25
2019-04-07 18:41:40 status half-configured dpkg:i386 1.18.25
2019-04-07 18:41:40 status unpacked dpkg:i386 1.18.25
2019-04-07 18:41:41 status half-installed dpkg:i386 1.18.25
2019-04-07 18:41:46 status half-installed dpkg:i386 1.18.25
2019-04-07 18:41:47 status unpacked dpkg:i386 1.18.25
2019-04-07 18:41:47 status unpacked dpkg:i386 1.18.25
2019-04-07 18:41:48 install e2fslibs:i386 <none> 1.43.4-2
2019-04-07 18:41:48 status half-installed e2fslibs:i386 1.43.4-2
2019-04-07 18:41:48 status unpacked e2fslibs:i386 1.43.4-2
2019-04-07 18:41:49 status unpacked e2fslibs:i386 1.43.4-2
2019-04-07 18:41:49 install e2fsprogs:i386 <none> 1.43.4-2
2019-04-07 18:41:49 status half-installed e2fsprogs:i386 1.43.4-2
2019-04-07 18:41:52 status unpacked e2fsprogs:i386 1.43.4-2
2019-04-07 18:41:52 status unpacked e2fsprogs:i386 1.43.4-2
2019-04-07 18:41:53 install libcomerr2:i386 <none> 1.43.4-2
2019-04-07 18:41:53 status half-installed libcomerr2:i386 1.43.4-2
